datetime,open,high,low,close,volume
11/27/18 6:00,46.94,48.22,46.59,48.07,27621025
11/28/18 6:00,47.935,48.88,47.65,48.86,28003222
11/29/18 6:00,48.49,48.56,47.63,47.7,23592512
11/30/18 6:00,47.95,49.32,47.56,49.31,43312603
12/3/18 6:00,50,50.495,49.53,50.13,30866818
12/4/18 6:00,49.52,49.6,47.675,47.75,35397722
12/6/18 6:00,46.8,48.39,46.52,48.37,31661749
12/7/18 6:00,47.94,48.06,46.23,46.24,34016375
12/10/18 6:00,46.28,47.46,46.01,47.21,23289000
12/11/18 6:00,47.9,48.59,47.13,47.38,23850962
12/12/18 6:00,48.58,48.64,47.41,47.83,31305045
12/13/18 6:00,48.26,48.58,47.855,48.29,19525963
12/14/18 6:00,47.89,48.76,47.85,47.86,26372077
12/17/18 6:00,47.86,48.41,46.66,47.08,26598676
12/18/18 6:00,47.47,48.45,47.36,47.74,29014290
12/19/18 6:00,47.49,47.73,45.38,45.57,39717559
12/20/18 6:00,45.41,46.31,45.01,45.54,37750948
12/21/18 6:00,45.75,46.65,44.8,44.84,52767741
12/24/18 6:00,44.63,45.17,43.54,43.59,19241563
12/26/18 6:00,44,46.2,43.51,46.19,28677632
12/27/18 6:00,45.62,46.38,44.67,46.36,29970725
12/28/18 6:00,46.51,47.74,46.3,46.75,24729695
12/31/18 6:00,47.09,47.48,46.55,46.93,20490405
