code,company,start,end,count of date points
600256,广汇能源,2019-1-30,2017-10-09,2
300029,天龙光电,2018-12-13,2018-1-8,2
300603,立昂技术,2018-3-7,2018-5-3,2
000550,江铃汽车,2019-1-23,2018-1-16,3
603929,亚翔集成,2018-3-20,2017-11-30,2
000783,长江证券,2019-1-23,2017-5-24,2
601901,方正证券,2019-1-10,2018-3-21,3
000782,美达股份,2019-1-22,2018-5-17,4
600348,阳泉煤业,2018-1-30,2017-8-29,3
002665,首航节能,2018-5-29,2018-6-5,4
002319,乐通股份,2017-11-23,2017-12-15,2
300471,厚普股份,2019-1-22,2018-2-24,2
002381,双箭股份,2019-1-22,2017-5-23,2
600682,南京新百,2017-11-30,2018-3-7,2
002878,元隆雅图,2019-1-18,2018-3-6,2
002671,龙泉股份,2017-12-15,2017-12-11,2
600273,嘉化能源,2018-4-18,2017-6-15,3
300319,麦捷科技,2019-1-17,2017-8-18,4
002507,涪陵榨菜,2019-1-17,2017-6-02,4
600175,美都能源,2018-5-30,2018-3-8,2
600569,安阳钢铁,2017-8-10,2018-3-16,2
600110,诺德股份,2016-4-14,2017-9-28,2
603167,渤海轮渡,2019-1-14,2017-7-11,3
601099,太平洋,2019-1-11,2018-3-8,3
000785,武汉中商,2019-1-11,2019-1-10,2
603678,火炬电子,2018-3-20,2018-4-17,2
300116,坚瑞沃能,2018-5-9,2018-4-17,7
300667,必创科技,2019-1-11,2018-12-14,2
603903,中持股份,2018-3-13,2018-1-10,2
002589,瑞康医药,2019-1-11,2018-12-13,3
603877,太平鸟,2019-1-11,2017-6-30,4
002205,国统股份,2017-9-28,2017-6-15,3
300077,国民技术,2017-11-30,2017-8-16,2
002517,恺英网络,2018-4-25,2017-5-17,5
000972,ST中基,2019-1-10,2018-5-4,2
600436,片仔癀,2018-3-14,2018-1-10,4
002383,合众思壮,2019-1-10,2017-6-28,6
002499,科林环保,2019-1-10,2017-6-20,2
002197,证通电子,2017-9-11,2018-3-14,2
601117,中国化学,2017-12-12,2019-1-30,2
002513,蓝丰生化,2019-1-10,2018-4-3,2
300497,富祥股份,2017-11-29,2018-4-20,3
603165,荣晟环保,2019-1-10,2018-1-31,2
601375,中原证券,2019-1-10,2017-5-25,2
000927,一汽夏利,2019-1-10,2017-11-23,6
300255,常山药业,2018-5-23,2018-5-17,2
601668,中国建筑,2017-5-27,2018-2-13,5
600820,隧道股份,2017-11-30,2017-11-22,3
000520,长航凤凰,2019-1-10,2017-10-13,3
603030,全筑股份,2018-4-4,2017-10-13,2
603066,音飞储存,2019-1-10,2017-7-27,2
600614,鹏起科技,2019-1-10,2018-5-3,6
000056,皇庭国际,2018-4-13,2018-12-10,3
300588,熙菱信息,2019-1-10,2018-5-31,4
000063,中兴通讯,2018-5-10,2018-7-16,6
000002,万科A,2019-1-10,2017-6-13,7
002782,可立克,2019-1-9,2018-3-22,2
002761,多喜爱,2019-1-9,2018-12-13,2
603663,三祥新材,2019-1-22,2017-8-16,3
300630,普利制药,2018-4-18,2018-4-20,2
000518,四环生物,2019-1-8,2017-8-31,2
600315,上海家化,2017-8-17,2017-12-6,2
002252,上海莱士,2018-12-20,2017-6-20,3
600809,山西汾酒,2018-1-30,2018-4-4,2
002464,众应互联,2018-12-14,2018-12-13,3
002076,雪莱特,2017-11-29,2017-12-12,2
002683,宏大爆破,2018-5-10,2017-8-24,2
300642,透景生命,2018-12-14,2018-4-19,2
600571,信雅达,2018-5-24,2018-12-14,6
000555,神州信息,2018-12-13,2016-3-24,4
002694,顾地科技,2018-12-13,2018-4-25,3
000010,美丽生态,2018-12-13,2018-5-30,3
300134,大富科技,2018-12-13,2018-2-1,2
300008,天海防务,2018-12-13,2018-5-9,2
300355,蒙草生态,2017-12-15,2017-7-26,4
603908,牧高笛,2018-12-13,2018-5-25,2
000830,鲁西化工,2018-2-23,2018-4-17,2
300167,迪威迅,2018-12-13,2018-7-18,2
002855,捷荣技术,2018-12-13,2018-5-23,2
603398,邦宝益智,2017-5-23,2018-5-4,2
000981,银亿股份,2018-12-10,2017-11-09,2
300082,奥克股份,2017-7-28,2019-1-17,2
600981,汇鸿集团,2018-12-10,2017-10-16,4
002753,永东股份,2018-12-10,2017-7-13,3
002684,猛狮科技,2018-7-16,2018-2-27,5
000587,金洲慈航,2018-7-16,2018-6-7,2
002258,利尔化学,2018-4-10,2018-1-18,5
600521,华海药业,2018-7-16,2017-12-14,2
600200,江苏吴中,2018-6-29,2017-10-17,3
300004,南风股份,2018-5-31,2018-5-11,3
600715,文投控股,2018-6-29,2018-3-6,2
002072,凯瑞德,2016-5-19,2017-7-19,4
000615,京汉股份,2018-6-29,2017-11-08,2
002725,跃岭股份,2018-6-29,2017-12-21,2
603113,金能科技,2018-5-17,2018-3-2,3
002569,步森股份,2018-3-9,2018-1-18,4
002353,杰瑞股份,2018-6-8,2018-12-10,4
600585,海螺水泥,2017-6-14,2017-7-26,4
600383,金地集团,2018-6-8,2018-3-8,2
300611,美力科技,2018-12-20,2017-11-08,2
603986,兆易创新,2018-5-3,2018-3-2,2
002514,宝馨科技,2017-9-07,2017-10-20,2
603058,永吉股份,2018-3-21,2018-2-1,2
300657,弘信电子,2018-6-7,2019-1-9,3
000673,当代东方,2018-2-23,2017-11-09,2
002584,西陇科学,2018-6-7,2018-6-1,3
002477,雏鹰农牧,2018-6-7,2018-3-8,2
000812,陕西金叶,2017-12-14,2017-12-21,2
300312,邦讯技术,2018-5-31,2018-5-24,2
000779,三毛派神,2018-1-30,2017-8-16,2
002872,天圣制药,2018-6-6,2019-1-23,3
000712,锦龙股份,2017-5-03,2017-9-21,4
600432,退市吉恩,2018-6-5,2018-5-30,2
002339,积成电子,2018-6-5,2019-1-30,2
600393,粤泰股份,2017-12-15,2017-3-15,2
002673,西部证券,2018-6-4,2018-2-28,4
000935,四川双马,2018-6-4,2017-12-14,3
002628,成都路桥,2017-8-24,2018-1-16,3
002622,融钰集团,2018-5-8,2017-12-19,7
000564,供销大集,2017-10-09,2018-5-28,2
300604,长川科技,2018-6-1,2018-4-25,2
002726,龙大肉食,2018-5-31,2017-6-29,5
300325,德威新材,2018-5-31,2017-12-14,2
002662,京威股份,2018-5-25,2018-3-16,2
000672,上峰水泥,2018-5-31,2018-4-27,3
002180,纳思达,2018-5-31,2018-1-31,2
300486,东杰智能,2018-5-24,2019-1-22,2
300543,朗科智能,2018-1-15,2018-1-29,3
600000,浦发银行,2018-4-28,2017-6-02,2
601368,绿城水务,2018-3-20,2017-8-01,2
000735,罗牛山,2018-5-29,2018-4-17,4
601857,中国石油,2018-1-31,2017-8-25,2
300032,金龙机电,2018-5-29,2017-11-03,6
002567,唐人神,2018-12-10,2018-1-31,3
